event_name,event_date,registrations,checked_in,attendance_rate,venue_capacity,data_quality_flag,event_status
January Cozy Craft Meetup #2 - Lakewood,2026-01-18,76,27,0.36,80,Reliable,Completed
November Cozy Craft Meetup,2025-11-09,55,16,0.29,80,Limited,Completed
Cozy Craft Meetup,2025-10-12,30,0,0.0,80,Limited,Completed
February BHM Cozy Craft Meetup,2026-02-08,92,49,0.53,80,Reliable,Completed
December Cozy Craft Meetup,2025-12-07,57,0,0.0,80,Limited,Completed
Spring Fling Cozy Craft Meetup,2026-04-12,98,0,0.0,80,Reliable,Upcoming
January Cozy Craft Meetup #1,2026-01-04,82,39,0.48,80,Reliable,Completed
March Cozy Craft Meetup,2026-03-08,119,54,0.45,80,Reliable,Completed
